DVM,TPDetailsLookUp,
TP_Identifier,TP_Name,TP_EDI_ID,TP_EDI_ID_Qualifier,HOST_EDI_ID,HOST_EDI_ID_Qualifier,TP_Element_Separator,TP_Subelement_Separator,TP_Segment_Terminator,TP_File_Name_Prefix,TP_File_Location_Prefix,TP_Transformation_Type,TP_Integration_Code,TP_Integration_Version,TP_Intermediate_Integration_Identifier
KNTEST005269709HNIT,Kuehne & Nagel,KNTEST,ZZ,005269709HNIT,01,*,:,~,Kuehne_,/home/users/hexaware_admin/oic/tradingpartner/outbound/kuehne,KNN,KUEHNEANDNAGEL_AS2_SEND,01.00.0000,LISTFILESFORKUEHNEANDNAGEL
006024699005269709HNIT,KNAPE & VOGT MFG  Grand Rapids,006024699,01,005269709HNIT,01,*,:,~,KNAPE_,/home/users/hexaware_admin/oic/tradingpartner/outbound/spsCommerce,Common,KNAPEANDVOGTMFG_AS2_SEND,01.00.0000,LISTFILESFORKNAPEANDVOGTMFG
KVCEDAR005269709HNIT,KNAPE & VOGT MFG  Grand Rapids,KVCEDAR,ZZ,005269709HNIT,01,*,:,~,KNAPE_,/home/users/hexaware_admin/oic/tradingpartner/outbound/spsCommerce,Common,KNAPEANDVOGTMFG_AS2_SEND,01.00.0000,LISTFILESFORKNAPEANDVOGTMFG
8473298530005269709HNIT,Legget Platt Inc Des Plaines,8473298530,ZZ,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
812407740005269709HNIT,Legget Platt Inc El Paso,812407740,01,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
6169560033005269709HNIT,Legget Platt Inc Grand Rapids,6169560033,12,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
6169541040005269709HNIT,Legget Platt Inc Grand Rapids,6169541040,12,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
3363797777005269709HNIT,Legget Platt Inc Greensboro,3363797777,12,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
3363731391005269709HNIT,Legget Platt Inc Greensboro,3363731391,12,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
3368892600005269709HNIT,Legget Platt Inc  High Point,3368892600,12,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
005476387005269709HNIT,Legget Platt Inc Kendallville,005476387,01,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
006397772005269709HNIT,Legget Platt Inc Liberty,006397772,01,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
7048731086005269709HNIT,Legget Platt Inc Statesville,7048731086,12,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
5198841860005269709HNIT,Legget Platt Inc Waterloo,5198841860,12,005269709HNIT,01,*,:,~,Legget_,/home/users/hexaware_admin/oic/tradingpartner/outbound/legget,Common,LEGGETPLATTINC_FTP_SEND,01.00.0000,LISTFILESFORLEGGETPLATT
9058777300005269709HNIT,Olon Industries Inc,9058777300,12,005269709HNIT,01,*,:,~,Olon_,/home/users/hexaware_admin/oic/tradingpartner/outbound/spsCommerce,Common,OLONINDUSTRIES_AS2_SEND,01.00.0000,LISTFILESFOROLONINDUSTRIES
3199390119005269709HNIT,Pries Enterprises,3199390119,12,005269709HNIT,01,*,:,~,Pries_,/home/users/hexaware_admin/oic/tradingpartner/outbound/pries,Common,PRIESENTERPRISES_AS2_SEND,01.00.0000,LISTFILESFORPRIESENTERPRISES
178313383005269709HNIT,Royal Technologies Corp,178313383,01,005269709HNIT,01,*,:,~,Royal_,/home/users/hexaware_admin/oic/tradingpartner/outbound/royal,Common,,,
3178443995T005269709HNIT,Seemac Inc,3178443995T,ZZ,005269709HNIT,01,*,:,~,Seemac_,/home/users/hexaware_admin/oic/tradingpartner/outbound/seemac,Common,,,
8654262862005269709HNIT,Ultra Tech Extursions,8654262862,12,005269709HNIT,01,*,:,~,Ultra_,/home/users/hexaware_admin/oic/tradingpartner/outbound/spsCommerce,Common,ULTRATECHEXTURSIONS_AS2_SEND,01.00.0000,LISTFILESFORULTRATECHEXTURSIONS
003147873005269709HNIT,Valdese  Weavers LLC,003147873,01,005269709HNIT,01,*,:,~,Valdese_,/home/users/hexaware_admin/oic/tradingpartner/outbound/valdese,Common,,,
243944100WESKOT005269709HNIT,WESKO Systems LTD,243944100WESKOT,ZZ,005269709HNIT,01,*,:,~,WESKO_,/home/users/hexaware_admin/oic/tradingpartner/outbound/wesko,Common,WESKOSYSTEMSLTD_AS2_SEND,01.00.0000,LISTFILESFORWESKOSYSTEMSLTD
006935308TPC005269709HNIT,White Distribution  Supply  Muscatine,006935308TPC,01,005269709HNIT,01,*,:,~,White_,/home/users/hexaware_admin/oic/tradingpartner/outbound/white,WhiteDistribution,,,
002017440CUST005269709HNIT,Milliken & Company,002017440CUST,09,005269709HNIT,01,*,:,~,Milliken_,/home/users/hexaware_admin/oic/tradingpartner/outbound/milliken,Common,,,
015106482CFST005269709HNIT,BI BY Staples,015106482CFST,01,005269709HNIT,01,,,,BIBYStaples_,/home/users/hexaware_admin/oic/tradingpartner/outbound/sterling,,,,
8008934091005269709HNIT,Bison Office,8008934091,12,005269709HNIT,01,,,,Bison_,/home/users/hexaware_admin/oic/tradingpartner/outbound/bison,,BISONOFFICE_FTP_SEND,01.00.0000,
054146402005269709HNIT,Clark Associates,054146402,01,005269709HNIT,01,,,,Clark_,/home/users/hexaware_admin/oic/tradingpartner/outbound/clark,,,,
